Age,death_rate,Accidents,Homicide,Respiratory illness,Influenza and pneumonia,Dementia,Cancer,Cardiovascular disease,Epilepsy,Cerebrovascular disease,Septicaemia,Genetic deformation,Suicide,Liver disease,Other
61,0.005615,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
62,0.006323,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
63,0.006856,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
64,0.007373,0,0,0.111918604651163,0,0,0.568450039339103,0.13719512195122,0,0.0781864673485445,0,0,0,0.104248623131393,0
65,0.008027,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
66,0.008899,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
67,0.009568,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
68,0.010433,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
69,0.011426,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
70,0.012681,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
71,0.013877,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
72,0.016044,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
73,0.017700,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
74,0.019486,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
75,0.022255,0,0,0.193396859481949,0.0735807274191384,0.141994363172728,0.310730103341833,0.167393638437794,0,0.112904308146558,0,0,0,0,0
